professor_name,classname,date,quality_rating,difficulty_rating,comments
Michael Seica,CIV100,"Nov 30th, 2022",1.0,5.0,"Online lecture videos are super theoretical, I would recommend watching Jeff Hanson on Youtube. The course is super test heavy, and the weekly homework assignments barely count towards your mark. The midterm exam was nothing like any of the homework or suggested textbook problems. Looking through all the past exams help!"
Michael Seica,CIV100,"Oct 28th, 2022",2.0,5.0,"Tough teacher, does not explain things well. Lectures at a rapid pace while making mistakes, making it impossible for students to follow. Presentation of notes is clear at least, and he is straightforward about what is expected of us."
Michael Seica,CIV100,"Oct 26th, 2022",2.0,5.0,"His lectures are quite clear, but communicating with him is not great: he doesn't respond to emails and when asked a question, his answers would be blunt."
Michael Seica,CIV100,"Feb 18th, 2022",2.0,4.0,hard prof good curve
Michael Seica,CIV100,"Jan 11th, 2022",1.0,4.0,Lectures suck.
Michael Seica,CIV100,"Jan 11th, 2022",1.0,5.0,"Prof Seica is not a bad person, but an arguably less-than-ok professor. The lecture materials recordings and materials are from 8 years ago and it's heavily concept-based, while the assessments focus more on the applied side. He literally wrote ""no email me or TA"" on the syllabus, and there wasn't a piazza for this course. The curve was big tho."
Michael Seica,CIV100,"Jan 3rd, 2022",2.0,5.0,"In general, seica is a nice guy. He cracks a joke or two during his tutorials but other than that, his lectures need serious work. This course is bound to be hard nonetheless, so that isnt the biggest issue. the issue with seica was his outdated lecture material and they simply werent helpful."
Michael Seica,CIV100,"Jan 3rd, 2022",5.0,5.0,Thank's for the huge curve
Michael Seica,CIV100,"Jan 2nd, 2022",5.0,4.0,"Went into the final with a 92, finished the course with a 99 (final exam + grade got belled like crazy). Seica demonstrates boundless generosity, despite tough exams. The course rewards students who try to think critically about problems. You will need to study hard, apply yourself, force yourself to enjoy the material, but it is rewarding."
Michael Seica,CIV100,"Jan 2nd, 2022",5.0,5.0,Got saved by a curve. Thank you!
Michael Seica,CIV100,"Dec 25th, 2021",1.0,4.0,"I didn't mind the course, I actually enjoyed the material, yet he made the midterm and final so hard that it ruined the enjoyment of the course. His lectures were recorded from 5 years ago and he only showed up to skim over the material once a week in tutorial. Overall, course wasn't too bad but he is a horrible professor. Good luck if you have him"
Michael Seica,CIV100,"Dec 14th, 2021",1.0,5.0,"He is an amazing professor, who wish to spend a lot of time deciding how to curve students grades. Thank you so much for bring the terrible final exam to me. I will remember you forever. Goodbye Prof. Seica and never see you again!!!"
Michael Seica,CIV100,"Dec 14th, 2021",1.0,5.0,Amazing professor !
Michael Seica,CIV100,"Dec 13th, 2021",2.0,5.0,"Seica is a nice prof, but his course is hard. Lecture video is useless. I have to read through the textbook by myself to understand the contents. MasterEngineersing quizzes are sucks, its impossible to finish multiple questions in 30 mins. Final exam ruins my life. Its 10 times harder than the assignments we do in daily basis."
Michael Seica,CIV100,"Dec 13th, 2021",4.0,4.0,"I think Professor Seica gets too much hate. While his course is hard, he is a good guy who happens to make hard tests."
Michael Seica,CIV100,"Dec 13th, 2021",4.0,5.0,Prof. Seica is a unique professor. His lectures are interesting but his exams failed almost everyone.
Michael Seica,CIV100,"Dec 13th, 2021",1.0,5.0,Just finished the exam ! It was a disaster! Worst exam I have ever done in my life
Michael Seica,CIV100,"Dec 12th, 2021",1.0,5.0,He's just really bad dawg
Michael Seica,CIV100,"Dec 12th, 2021",1.0,5.0,"Worst prof at u of t and its not even close. Lectures suck and in addition to what everyone else has said about the teaching quality, he seems like just a genuinely bad person all around."
Michael Seica,CIV100,"Dec 6th, 2021",5.0,4.0,Great professor.
Michael Seica,CIV100,"Dec 6th, 2021",1.0,5.0,"His recorded lectures just go through his equations and derive the solutions, while I don't understand what he is trying to do. His tutorials simply REPEAT EVERYTHING he said in the lectures. Watching his lectures is a waste of time, better go to youtube for help."
Michael Seica,CIV100,"Nov 14th, 2021",2.0,4.0,"He clearly understands the subject in gret depth, but somehow completely fails to pass this knowledge onto us. Sometimes skips 'a couple' steps in lectures and somehow arrives to the final answer. Seems like he would be a cool uncle tho"
Michael Seica,CIV100,"Nov 10th, 2021",1.0,5.0,I cant even bring myself to watch the lectures anymore and listen to his voice it makes me physically recoil. He uploads all weekly quizzes and assignments from years prior and then ceases contact for semester. Quizzes kill you. Depending on tutorial section you can lose full marks for adding an extra sig fig. Cringe tas but thats normal at uoft.
Michael Seica,CIV100,"Nov 8th, 2021",1.0,4.0,"Online quizzes where you had to do a ton of calculations but only input your final answer so even if you were a little off, you lose the marks. Got a bunch of zeros and found it infuriating. The lectures were confusing."
Michael Seica,CIV100,"Nov 6th, 2021",1.0,5.0,"Terrible prof, ruined first year engineering"
Michael Seica,CIV100,"Oct 22nd, 2021",1.0,5.0,I LOVE THIS PROF HAHA I LOVE WHEN HE IS TEACHING A NEW CONCEPT BUT INSTEAD OF SHOWING HIS WORK AND EXPLAINING THE CONCEPT HE GOES STRAIGHT TO THE ANSWER LIKE YOU WOULD IN GRADE 5!
Michael Seica,CIV100,"Oct 21st, 2021",1.0,5.0,"Tame, ridiculous, stressful, and frustrating"
Michael Seica,CIV100,"Oct 21st, 2021",1.0,4.0,"His lectures are difficult to understand because many times he doesn't explain his solution process completely or leaves out very important steps that should have been emphasized. There is extremely little availability for help outside of class, the course only has 1 office hour per week and we are not allowed to ask questions online/email for help"
Michael Seica,CIV100,"Oct 18th, 2021",1.0,5.0,"Man is the worst teacher he can't teach any content but for his videos, all he says is simple concepts."
Michael Seica,CIV100,"Sep 28th, 2021",1.0,5.0,"I agree. ""There is a mythical aura about this man- he is the creator of mechanics, the destroyer of triangle law users, and the preacher of the parallelogram. Using 1% of his power, he manages to destroy all of us on the midterm, but then demonstrates his boundless generosity and powers of forgiveness by leading us to salvation with a huge curve."""
Michael Seica,CIV100,"Sep 23rd, 2021",1.0,5.0,yea no
Michael Seica,CIV100,"Jul 30th, 2021",1.0,5.0,"This Professor says 'most people fail this course' on the first day of class, already creating a negative environment amongst students. He assigns enormous problem sets with questions randomly graded, so you HAVE to complete all problems. If you having just below a passing grade e.g. 49, he will NOT even listen to you regarding a grade change."
Michael Seica,CIV100,"Apr 3rd, 2021",1.0,5.0,MIE100 is easier for me and they say CIV100 is a cake walk. Not with this guy teaching it.
Michael Seica,CIV100,"Feb 27th, 2021",5.0,4.0,"Michael Seica has been my favourite teacher at UofT so far. Contrary to what others may say, his lecture videos were enough to get a basic understanding of the weekly topics. To build on this basic understanding, it is essential that you attend the weekly practical and tutorials to get help with doing actual problems."
Michael Seica,CIV100,"Feb 3rd, 2021",1.0,5.0,"Lectures were old videos that had many mistakes in them, tutorials were just a live repeat of lectures (almost verbatim sometimes), destroyed class avg with an exam that was marked very hard. However, Seica is a great person and while tutorials aren't of much value, they are worth going to just to see seica live."
Michael Seica,CIV100,"Jan 25th, 2021",2.0,5.0,Awful. Ridiculous. Unreasonable. Thank You!
Michael Seica,CIV100,"Jan 23rd, 2021",1.0,4.0,Destroyed class avgs with the midterm and final exam. His lecture videos are pretty bad and tutorials were basically him repeating the lecture videos.
Michael Seica,CIV100,"Jan 22nd, 2021",2.0,4.0,I love you. Thank you!
Michael Seica,CIV100,"Jan 19th, 2021",1.0,5.0,"Worst prof I had during the pandemic. First of all, his lecture videos were from 2012 for a class you pay a large amount for, and some of the material was not the same as the expectations for this year. He was also very inaccessible and not at all helpful or conducive in helping students learn. He is also an insanely tough marker."
Michael Seica,CIV100,"Dec 21st, 2020",3.0,5.0,"Not a big fan of his prerecorded lecture videos, they were a bit too general. He seems like a nice guy but I did not like using Mastering Engineering for our quizzes since most people seemed to do poorly. The final exam was really difficult, in my opinion, more difficult than the past exams."
Michael Seica,CIV100,"Dec 17th, 2020",1.0,5.0,The truth is....
Michael Seica,CIV100,"Dec 17th, 2020",4.0,4.0,"Professor Seica taught greatly through his lectures in the first semester, especially with the term being online. Although his approaches are different, but I understood all the concepts taught by him. He was concise and clear for the topics he covered. Overall, it was a great experience learning from him."
Michael Seica,CIV100,"Dec 16th, 2020",1.0,5.0,"worst class ive ever taken in my life. considering we are operating in the middle of a pandemic, he did not show any sympathy and was not accessible through email. he was very cold and dismissive to students. my worst highlight of first semester of first year, im sure many feel the same way."
Michael Seica,CIV100,"Dec 10th, 2020",1.0,5.0,"His lecture video is useless, never test what he has taught. It is the end of the term, he is still a mystery to me. LOL"
Michael Seica,CIV100,"Dec 7th, 2020",1.0,5.0,It feels like he is avoiding his students.
Michael Seica,CIV100,"Dec 7th, 2020",1.0,5.0,It's really difficult especial taking the course online
Michael Seica,CIV100,"Dec 5th, 2020",1.0,5.0,online class. no lecture. nothing.
Michael Seica,CIV100,"Dec 1st, 2020",1.0,5.0,The worst prof in first year !!!
Michael Seica,CIV100,"Nov 30th, 2020",1.0,5.0,"For urself, avoid this prof, he does not want to teach at all. does not care about students."
Michael Seica,CIV100,"Nov 11th, 2020",5.0,5.0,"There is a mythical aura about this man- he is the creator of mechanics, the destroyer of triangle law users, and the preacher of the parallelogram. Using 1% of his power, he manages to destroy all of us on the midterm, but then demonstrates his boundless generosity and powers of forgiveness by leading us to salvation with a huge curve. Thank you."
Michael Seica,CIV100,"Nov 9th, 2020",1.0,5.0,"Takes forever to respond to piazza, doesn't even allow e-mail contact, the attitude towards students is cold and dismissive. It feels as if there is no way at all to reach out to profs. The assignments are not reflective of the student's ability to understand the content. Even if you understand, expect poor results for arbitrary reasons."
Michael Seica,CIV100,"Nov 9th, 2020",1.0,5.0,"The teacher specifically avoids teaching the material that will appear on the test. The quizzes are buggy and when students have errors he's unsympathetic to the students' concerns. The tests also ask for 6-11 unknowns, yet he gives you no time to answer them. Overall, if you aren't required to take this course for credit, then please just don't."
Michael Seica,CIV100,"Oct 31st, 2020",1.0,5.0,"""Guys I asked you to stop playing please, so there's no more playing now."" - Prof. Michael Seica, October 2020 Mans is terrible, lecture vids suck. Midterm and final exams are way harder than the quizzes you will get, so you need to study a lot more to meet the difficulty of these tests. I just did the midterm and it was the worst test ever."
Michael Seica,CIV100,"Oct 31st, 2020",1.0,5.0,His tests are awful.
Michael Seica,CIV100,"Oct 31st, 2020",1.0,4.0,"Horrible prof. Midterms are worth so much, yet are very tough and with very little time to submit. Additionally, midterms are held at a time which is either incredibly late or incredibly early for many international students"
Michael Seica,CIV100,"Oct 31st, 2020",2.0,5.0,"Midterm couldnt solve 2 out of 3, was really prepared and did well on quizzes, nevertheless it was totally different from the previous years exams and supeerrrrr hard I... alright guess thats all you need to know"
Michael Seica,CIV100,"Oct 31st, 2020",1.0,5.0,"The midterm this year consists of only 3 questions, and they are not even released at the same time. One has to wait to do the next question, which is a waste of time. It doesn't mimic a real in-person exam."
Michael Seica,CIV100,"Oct 28th, 2020",1.0,5.0,"Given the situation that we can actually get to U of T with the pandemic, the teaching team can not make Midterm flexible but restrict the time to take it. Even the Midterm is at Saturday morning 9 a.m, meaning 9 p.m for students in another part of the world."
Michael Seica,CIV100,"Oct 19th, 2020",1.0,5.0,"An absolutely terrible professor doesn't care for students at all. Masteringengineering is terrible, he can't teach for his life, is very rude and boring, basically as bad as it gets."
Michael Seica,CIV100,"Oct 19th, 2020",1.0,5.0,"Masteringengineering quizzes are horrible, midterm and final worth 75 percent total..... not a fun time. Pre recorded lectures leave me more confused than before."
Michael Seica,CIV100,"Oct 17th, 2020",1.0,5.0,"what I can say ? sorry, I do not have patience, I got six courses to study not just one."
Michael Seica,CIV100,"Sep 10th, 2020",1.0,4.0,Confusing
Michael Seica,CIV100,"Apr 3rd, 2020",1.0,5.0,"He helped me so much, helped me to discover how much I would never want to take a CIV course ever again."
Michael Seica,CIV100,"Mar 18th, 2020",1.0,5.0,"Very very very condenscending prof. He does not give constructive feedback and finds any way to deduct marks. Don't even bother asking for a mark adjustment because he'll just respond very rudely. As he uses very outdated questions, I'm pretty sure he hasn't changed his method since 2010 or something. No one deserves to have him as a teacher."
Michael Seica,CIV100,"Feb 18th, 2020",2.0,4.0,"We had to watch his videos which could be made in half the time, plus dated with errors. The weekly problem sets are nice as theyre great exam prep but i can't specifically give him credit for that since it's practiced in all sections of CIV100. He's slow so you gotta be patient with him, but can give you attitude if you ask a question."
Michael Seica,APS160,"Jan 9th, 2017",1.0,4.0,"Okay at teaching, doesn't know how to wright or organize an exam. Doesn't care about students"
Michael Seica,APS160,"Jan 9th, 2017",1.0,4.0,"Okay at teaching, doesn't know how to wright or organize an exam. Doesn't care about students."
Michael Seica,CIV100,"Jan 9th, 2017",1.0,4.0,"most uncaring prof I had in term1. Worst experience in his online class. Only 2 times he actually spent some time in tut: 1. before midterm, 2. before prof evaluation due. Do not take his online course, he never updated his lec vid, even there's errors in them. Do not take his course."
Michael Seica,CIV100,"Dec 14th, 2016",3.0,5.0,"I took his experimental online course this year. Workload2-2.5 regular courses. We gave assigns&quizzes before finals.  He did not update his online lecture vids in 3 yrs, even he got errors in them.  Uncaring, had minimum interest in tut or answering question or in this course in general.  Don't believe him and take CIV online."
Michael Seica,CIV100,"Jan 25th, 2015",5.0,2.0,"I took a probationary level course with him and I thought I was an absolutely hopeless student who had no chance to pass. However, Prof. Seica was so kind and patient (as long as you don't cut him off or ask irrelevant questions during lectures!) and explained amazingly well, especially with his relevant analogies. Thanks prof!"
Michael Seica,CIV100,"Dec 14th, 2014",3.5,4.0,"He's a tough grader but an excellent teacher. Sometimes a little slow, so you need to have patience with him, but weekly quizzes definitely worth it."
Michael Seica,CIV100,"Feb 7th, 2014",4.0,2.0,"This professor is good. The weekly quizzes are a good way to get people to keep up with the course material. During the semester his section is more difficult than others (because of weekly quizzes), but the final exam is easier for people in his section. This can be seen with the final exam results."
Michael Seica,CIV100,"Sep 6th, 2013",4.0,4.0,"Very good prof. The weekly quizzes were the most helpful part of all. He's tough, but he can get the best out of you. Deserves far more credit than what he gets."
Michael Seica,CIV1,"Apr 3rd, 2012",5.0,2.0,Complaints about this prof dont make sense. He was a flawless finominal teacher with weekly quizzes and problem sets which helped my class ace the final. He was helpful and caring. Haters are just people who didn't understand/take interest in the course in general. He cant work miricales. Good prof.
Michael Seica,CIV101,"Aug 3rd, 2011",1.5,5.0,Worst prof. Clearly not interested in teaching and was literally texting while students were asking him questions. Gives weekly assignments and hard quizzes. Avoid this prof!
Michael Seica,CIV100,"Apr 19th, 2011",1.0,5.0,Mean prof. Watch out for the final. He put in stuff that he never taught and has never been on any final for the course for the past 10 years.
Michael Seica,CIV100,"Jan 19th, 2010",2.0,4.0,"Sets really hard midterms, but gets you prepared for finals. I did very bad on the midterm but thought the final was really easy."
Michael Seica,CIV101,"Dec 21st, 2008",5.0,4.0,Very Good :)
Michael Seica,CIV0105,"Apr 9th, 2008",5.0,5.0,"This professor is wonderful, His  weekly problem sets and assignments are a lot harder than other section but the class  ALWAYS ends up getting the higher average. Termwork was hard(only worth 40%) but exam was a breeze (worth 60%). i aced the exam and ended up acing the class. i recommend him."
Michael Seica,CIV101,"Jan 17th, 2006",3.5,2.0,"Very good prof, explains things pretty clearly. Isn't very helpful when you ask him questions, he will rather tell you to look at the notes. He gives an assignment and a quiz every week, too much work!! His quizzes are fair though. Hard to get along with, tells you to get out of the class if you talk or cell phone rings."
Michael Seica,CIVIL101,"Dec 21st, 2005",2.0,3.0,so so
Michael Seica,CIV101,"Dec 8th, 2005",2.0,4.0,Without a doubt the most gorgeous proffessor on the entire U of T campus. Stunning.
Michael Seica,CIV101,"Sep 29th, 2005",1.5,3.0,No Comments
Michael Seica,CIV101,"Sep 26th, 2005",1.0,5.0,No Comments
Michael Seica,CIV102,"Dec 8th, 2003",1.0,5.0,"not helpful at all, puts you down if you ask questions about stuff he already explained or covered already."
Michael Seica,CIV101,"Oct 20th, 2003",4.0,4.0,"Very knowledgeable. However, not very easy to get along with."
Michael Seica,CIV101,"Oct 13th, 2003",2.0,5.0,"difficult to understand, and doesn't help. Just says to read the textbook or go to the TAs. EXTREMELY impossible quizzes EVERY week."
Michael Seica,CIV101,"Oct 9th, 2003",1.0,5.0,what does he think of himself? we r 1st year students not 4th year
Michael Seica,CIV101,"Sep 26th, 2003",2.0,5.0,No Comments
Michael Seica,CIV101,"Apr 27th, 2003",5.0,2.0,:D
Michael Seica,CIV101,"Apr 3rd, 2002",5.0,3.0,No Comments
Oya Mercan,CIV100,"Jan 10th, 2025",5.0,4.0,Very difficult course but professor mercan explains well. Lectures can be a little fast paced but are mostly understandable. Good selection of practice problems in lectures.
Oya Mercan,CIV100,"Jan 5th, 2025",4.0,3.0,"Prof Mercan talks very quickly and only uses the blackboard, which worked well for me because I was able to follow along and didn't find the material too difficult. Every so often she would create a handout containing all the information we had covered up to then. Before the final, she took one lecture to review everything in the whole course."
Oya Mercan,CIV100,"Nov 25th, 2024",5.0,3.0,"Oya is a very good prof whose lectures, while being fast paced, are really well structured and they help to understand the problem sets and tests."
Oya Mercan,CIV100,"Nov 25th, 2024",5.0,3.0,"Oya's lectures are great, she clearly explains topics and gives numerical examples that directly relate to homework sets and quizzes. She may seem a little scary at the beginning but over time you can see that she is one of the best lecturers in first year."
Oya Mercan,CIV100,"Sep 26th, 2024",5.0,3.0,She is efficient and explains things clearly.
Oya Mercan,CIV100,"Aug 14th, 2024",2.0,3.0,"She speaks very quickly in lectures, making an already difficult course even more annoying to understand. She also sometimes gets annoyed at questions from students. She uses the chalkboard, so sitting anywhere past the middle of the lecture hall will make some of the things she writes almost impossible to read when they're at the top/bottom."
Oya Mercan,CIV100,"Jan 11th, 2024",4.0,5.0,"Prof. Mercan was an amazing lecturer who had her course structured fairly different from the other profs, but it always was to our benefit.

Pros:
- Useful problem sets to introduce you to the material
- Great lectures, very clear and always open to answer questions
Con:
- Gets annoyed if a question makes her repeat something she's previously said"
Oya Mercan,CIV100,"Jan 10th, 2024",5.0,3.0,"Professor Mercan, a caring educator, took a unique approach in CIV100, covering 2D equilibrium first, then 3D. Her detailed problem-solving in class and willingness to stay after class, patiently addressing repeated questions, created a supportive learning environment. Her impact reached beyond the classroom, making her a remarkable teacher."
Oya Mercan,CIV100,"Dec 17th, 2023",5.0,4.0,"She sometimes seems a bit distant or cold, but once you're in her class for long enough you can tell she truly has your best interests in mind and cares a lot. She's a bit of a ""tough"" love professor sometimes, but it really pays off for finals/midterms when other classes haven't received that initial shock from smaller quizzes/assignments."
Oya Mercan,CIV100,"Jan 18th, 2023",4.0,4.0,"Guys don't sleep on Mercan. She doesn't follow the same problem sets as the other classes, but that doesn't really matter too much. Mercan is a great teacher. At first, I didn't appreciate her, but then I started dynamics with Sullivan and now I miss her so much. I love you Mercan"
Oya Mercan,CIV100,"Dec 13th, 2022",5.0,2.0,The course syllabus is structured terribly but Prof. Mercan isn't responsible for the structure. She takes a different approach to the course content compared to the other profs giving the same lecture but I like it a lot. The weekly homework is great review material. Make sure you fully understand how to solve them. There's always a curve.
Oya Mercan,CIV100,"Oct 19th, 2022",5.0,4.0,"The CIV100 course itself is a nightmare: lots of problem sets, super tedious work and tough content overall. However, Mercan does a great job of explaining concepts and her example-heavy teaching style rlly makes it easier to apply theory to practical problems."
Oya Mercan,CIV100,"Jan 30th, 2021",5.0,1.0,"If you are taking CIV100 just hope she is your Tut teacher, she explains topics very well!"
Oya Mercan,CIV100,"Dec 21st, 2020",4.0,5.0,"I didn't enjoy the course but Prof Mercan explained concepts well in tutorials. For the first few weeks, she was a bit tough, she turned off our chat privileges :((( But overall she's a good prof who explains concepts pretty well."
Oya Mercan,CIV100,"Dec 18th, 2020",4.0,2.0,"Gave good lectures. She once had a bit of a heated gamer moment and yelled at the class / into space when frustrated, threatening to deduct marks from all of our quizzes. This latter part was a pretty empty threat since each quiz section was curved to a 70 anyways. Kinda wild. Still she's a good teacher. Our section (ECE) beat the civs at civ"
Oya Mercan,CIV100,"Nov 29th, 2019",5.0,4.0,Mercan is the best prof I've had this semester. Her lectures are concise and effective. Don't skip lecture! She is hilarious without realizing it. She also was in tutorial and was very approachable and helpful.
Oya Mercan,CIV519,"Dec 21st, 2015",2.5,4.0,"Mercan is a very confusing teacher. her graduate exams are very difficult since they involve extensive knowledge on undergraduate classes that she did not review. Such as how springs and cables act as truss bars. Also when she is teaching, she tends to over complicate complex topics. She does not require a textbook but I recommend Hibbler  to pass."
Oya Mercan,CIV100,"Dec 8th, 2015",4.0,2.0,Pretty good prof. Her accent is a bit hard to understand but she explains everything very clearly. Be sure to read ahead when she's about to start a new topic because you won't understand otherwise.
Oya Mercan,CIV100,"Dec 8th, 2015",4.5,4.0,"Although her lecture is sometimes difficult to understand unless you focus really well in lecture, she would be really resourceful. And definitely ask her questions after class and she is fantastic!"
Shoshanna Saxe,CIV100,"Jan 4th, 2025",5.0,3.0,"she was so caring and nice and knew how to teach in the simplest way that I, as an ESL would engage in her lectures fully. If you want to get a good grade in the finals, attend the classes and take notes because she goes fast. The final exam was difficult since the course coordinator was someone else."
Shoshanna Saxe,CIV100,"Oct 16th, 2019",2.0,5.0,"Trash prof, with horrible office hours and explanations. I found that she didn't take her role seriously, and rather ran off to meetings. Her office hours are not helpful as well. And she is not capable of explaining difficult concepts in a way most can understand sadly."
Shoshanna Saxe,CIV100,"Nov 18th, 2017",4.0,5.0,"Great teacher, but she likes to watch you suffer through impossible quizzes and assignments"
Earl Magsipoc,civ100,"Dec 6th, 2024",5.0,1.0,"Earl is a great teacher, always answering questions during lectures and trying to help us out with as many examples as possible during lectures. He would even come to our tutorials and give us hints on our weekly problem sets. Awesome instructor and would definitely reccomend!"
Anthony Sinclair,MIE100,"Apr 5th, 2024",5.0,3.0,"The best professor by far in my first year. Explains concepts and examples very clearly, and even provides a coffee break in every lecture to help students calm down a bit. Very kind and willing to help. Amazing professor."
Anthony Sinclair,MIE100,"Feb 27th, 2024",1.0,3.0,"Horrible man who called Palestinians ""the enemy"""
Anthony Sinclair,MIE100,"Feb 4th, 2024",5.0,1.0,good professor
Anthony Sinclair,MIE100,"Jan 26th, 2023",5.0,2.0,"Anthony is a wonderful specimen of a human being. He makes very relevant jokes during lecture, takes a nice 10 minute break every lecture, explains everything wonderfully, honestly one of my favorite professors at the moment. Out of the entire MIE100 teaching team this semester, he genuinely should have been the course co-ordinator."
Anthony Sinclair,MIE100,"May 26th, 2022",5.0,2.0,"Extremely good professor who explains concepts very clearly and concisely. He puts effort into making the classroom environment light-hearted through jokes and his ""coffee breaks"".  His lecture notes are comprehensive and very clear. He also gives lots of exam tips and his practice questions help a lot. Definitely one of the best."
Anthony Sinclair,MIE100,"Apr 14th, 2022",5.0,2.0,"One of the best professors I had in my freshman year. He gives outstanding lectures, and the examples he discusses during class are short, simple, and extremely useful. One of the most enjoyable parts of his lectures is his coffee breaks, which make me feel refreshed. Because, well, I have short attention spans."
Anthony Sinclair,MIE100,"Apr 5th, 2022",5.0,3.0,"This guy gives awesome lectures. Even if the material is difficult, he includes simple examples that help foster an understanding for the subject matter. Whether it be his hilarious jokes, the 10 or so minutes of 'coffee time', or the course itself, there's always something to look forward to in Sinclair's class."
Anthony Sinclair,MIE100,"May 18th, 2021",5.0,4.0,"Great Professor, really knows how to explain the concepts of this demanding class."
Anthony Sinclair,MIE100,"Apr 20th, 2019",5.0,4.0,"Prof. Sinclair has been my favourite in first year. He is one of the few instructors who know how to explain and teach, and answers questions so clearly. Also love his sense of humor, and the coffee breaks!!!"
Anthony Sinclair,BME1452,"Dec 11th, 2017",5.0,4.0,"Tony is pretty accessible outside class. He is smart, funny and the best in teaching. Signal processing course was too tough tho."
Anthony Sinclair,MIE100,"Apr 18th, 2017",5.0,3.0,Super smart
Anthony Sinclair,MIE100,"Jan 13th, 2016",5.0,1.0,Love his lectures
Anthony Sinclair,MIE100,"Mar 9th, 2015",5.0,3.0,"MIE100 tough course but he teaches the best among the profs, class is always crowded"
Anthony Sinclair,MIE100,"Aug 8th, 2014",4.0,4.0,Funny professor and really cocky but teaches one of the best.
